ID         Site                     App        Workdir                    State              Tags                                                                                                         
33979592   2x2_production_polaris   analysis   workdir/v0_59_analysis     AWAITING_PARENTS   {'index': '59', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979593   2x2_production_polaris   analysis   workdir/v0_60_analysis     AWAITING_PARENTS   {'index': '60', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979594   2x2_production_polaris   analysis   workdir/v0_61_analysis     JOB_FINISHED       {'index': '61', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979595   2x2_production_polaris   analysis   workdir/v0_62_analysis     JOB_FINISHED       {'index': '62', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979596   2x2_production_polaris   analysis   workdir/v0_63_analysis     JOB_FINISHED       {'index': '63', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979597   2x2_production_polaris   analysis   workdir/v0_64_analysis     JOB_FINISHED       {'index': '64', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979598   2x2_production_polaris   analysis   workdir/v0_65_analysis     JOB_FINISHED       {'index': '65', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979599   2x2_production_polaris   analysis   workdir/v0_66_analysis     JOB_FINISHED       {'index': '66', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979600   2x2_production_polaris   analysis   workdir/v0_67_analysis     AWAITING_PARENTS   {'index': '67', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979601   2x2_production_polaris   analysis   workdir/v0_68_analysis     JOB_FINISHED       {'index': '68', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979602   2x2_production_polaris   analysis   workdir/v0_69_analysis     JOB_FINISHED       {'index': '69', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979603   2x2_production_polaris   analysis   workdir/v0_70_analysis     JOB_FINISHED       {'index': '70', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979604   2x2_production_polaris   analysis   workdir/v0_71_analysis     JOB_FINISHED       {'index': '71', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979605   2x2_production_polaris   analysis   workdir/v0_72_analysis     JOB_FINISHED       {'index': '72', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979606   2x2_production_polaris   analysis   workdir/v0_73_analysis     JOB_FINISHED       {'index': '73', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979607   2x2_production_polaris   analysis   workdir/v0_74_analysis     AWAITING_PARENTS   {'index': '74', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979608   2x2_production_polaris   analysis   workdir/v0_75_analysis     JOB_FINISHED       {'index': '75', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979609   2x2_production_polaris   analysis   workdir/v0_76_analysis     AWAITING_PARENTS   {'index': '76', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979610   2x2_production_polaris   analysis   workdir/v0_77_analysis     JOB_FINISHED       {'index': '77', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979611   2x2_production_polaris   analysis   workdir/v0_78_analysis     JOB_FINISHED       {'index': '78', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979612   2x2_production_polaris   analysis   workdir/v0_79_analysis     AWAITING_PARENTS   {'index': '79', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979613   2x2_production_polaris   analysis   workdir/v0_80_analysis     JOB_FINISHED       {'index': '80', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979614   2x2_production_polaris   analysis   workdir/v0_81_analysis     JOB_FINISHED       {'index': '81', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979615   2x2_production_polaris   analysis   workdir/v0_82_analysis     JOB_FINISHED       {'index': '82', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979616   2x2_production_polaris   analysis   workdir/v0_83_analysis     JOB_FINISHED       {'index': '83', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979617   2x2_production_polaris   analysis   workdir/v0_84_analysis     JOB_FINISHED       {'index': '84', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979618   2x2_production_polaris   analysis   workdir/v0_85_analysis     JOB_FINISHED       {'index': '85', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979619   2x2_production_polaris   analysis   workdir/v0_86_analysis     JOB_FINISHED       {'index': '86', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979620   2x2_production_polaris   analysis   workdir/v0_87_analysis     JOB_FINISHED       {'index': '87', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979621   2x2_production_polaris   analysis   workdir/v0_88_analysis     JOB_FINISHED       {'index': '88', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979622   2x2_production_polaris   analysis   workdir/v0_89_analysis     JOB_FINISHED       {'index': '89', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979623   2x2_production_polaris   analysis   workdir/v0_90_analysis     JOB_FINISHED       {'index': '90', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979624   2x2_production_polaris   analysis   workdir/v0_91_analysis     JOB_FINISHED       {'index': '91', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979625   2x2_production_polaris   analysis   workdir/v0_92_analysis     JOB_FINISHED       {'index': '92', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979626   2x2_production_polaris   analysis   workdir/v0_93_analysis     JOB_FINISHED       {'index': '93', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979627   2x2_production_polaris   analysis   workdir/v0_94_analysis     AWAITING_PARENTS   {'index': '94', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979628   2x2_production_polaris   analysis   workdir/v0_95_analysis     JOB_FINISHED       {'index': '95', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979629   2x2_production_polaris   analysis   workdir/v0_96_analysis     JOB_FINISHED       {'index': '96', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979630   2x2_production_polaris   analysis   workdir/v0_97_analysis     JOB_FINISHED       {'index': '97', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979631   2x2_production_polaris   analysis   workdir/v0_98_analysis     JOB_FINISHED       {'index': '98', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979632   2x2_production_polaris   analysis   workdir/v0_99_analysis     JOB_FINISHED       {'index': '99', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}      
33979633   2x2_production_polaris   analysis   workdir/v0_100_analysis    JOB_FINISHED       {'index': '100', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979634   2x2_production_polaris   analysis   workdir/v0_101_analysis    JOB_FINISHED       {'index': '101', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
