ID         Site                     App           Workdir                       State          Tags                                                                                                               
33989635   2x2_production_polaris   analysis_v1   workdir/v3_88_analysis_v1     JOB_FINISHED   {'index': '88', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989636   2x2_production_polaris   analysis_v1   workdir/v3_89_analysis_v1     JOB_FINISHED   {'index': '89', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989637   2x2_production_polaris   analysis_v1   workdir/v3_90_analysis_v1     JOB_FINISHED   {'index': '90', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989638   2x2_production_polaris   analysis_v1   workdir/v3_91_analysis_v1     JOB_FINISHED   {'index': '91', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989639   2x2_production_polaris   analysis_v1   workdir/v3_92_analysis_v1     JOB_FINISHED   {'index': '92', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989640   2x2_production_polaris   analysis_v1   workdir/v3_93_analysis_v1     JOB_FINISHED   {'index': '93', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989641   2x2_production_polaris   analysis_v1   workdir/v3_94_analysis_v1     FAILED         {'index': '94', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989642   2x2_production_polaris   analysis_v1   workdir/v3_95_analysis_v1     JOB_FINISHED   {'index': '95', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989643   2x2_production_polaris   analysis_v1   workdir/v3_96_analysis_v1     JOB_FINISHED   {'index': '96', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989644   2x2_production_polaris   analysis_v1   workdir/v3_97_analysis_v1     JOB_FINISHED   {'index': '97', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989645   2x2_production_polaris   analysis_v1   workdir/v3_98_analysis_v1     JOB_FINISHED   {'index': '98', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989646   2x2_production_polaris   analysis_v1   workdir/v3_99_analysis_v1     JOB_FINISHED   {'index': '99', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}      
33989647   2x2_production_polaris   analysis_v1   workdir/v3_100_analysis_v1    JOB_FINISHED   {'index': '100', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}     
33989648   2x2_production_polaris   analysis_v1   workdir/v3_101_analysis_v1    JOB_FINISHED   {'index': '101', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}     
33989649   2x2_production_polaris   analysis_v1   workdir/v3_102_analysis_v1    JOB_FINISHED   {'index': '102', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}     
