ID         Site                     App           Workdir                       State              Tags                                                                                                            
33977556   2x2_production_polaris   flow2supera   workdir/v0_67_flow2supera     AWAITING_PARENTS   {'index': '67', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977557   2x2_production_polaris   flow2supera   workdir/v0_68_flow2supera     JOB_FINISHED       {'index': '68', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977558   2x2_production_polaris   flow2supera   workdir/v0_69_flow2supera     JOB_FINISHED       {'index': '69', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977559   2x2_production_polaris   flow2supera   workdir/v0_70_flow2supera     JOB_FINISHED       {'index': '70', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977560   2x2_production_polaris   flow2supera   workdir/v0_71_flow2supera     JOB_FINISHED       {'index': '71', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977561   2x2_production_polaris   flow2supera   workdir/v0_72_flow2supera     JOB_FINISHED       {'index': '72', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977562   2x2_production_polaris   flow2supera   workdir/v0_73_flow2supera     JOB_FINISHED       {'index': '73', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977563   2x2_production_polaris   flow2supera   workdir/v0_74_flow2supera     AWAITING_PARENTS   {'index': '74', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977564   2x2_production_polaris   flow2supera   workdir/v0_75_flow2supera     JOB_FINISHED       {'index': '75', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977565   2x2_production_polaris   flow2supera   workdir/v0_76_flow2supera     AWAITING_PARENTS   {'index': '76', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977566   2x2_production_polaris   flow2supera   workdir/v0_77_flow2supera     JOB_FINISHED       {'index': '77', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977567   2x2_production_polaris   flow2supera   workdir/v0_78_flow2supera     JOB_FINISHED       {'index': '78', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977568   2x2_production_polaris   flow2supera   workdir/v0_79_flow2supera     AWAITING_PARENTS   {'index': '79', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977569   2x2_production_polaris   flow2supera   workdir/v0_80_flow2supera     JOB_FINISHED       {'index': '80', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977570   2x2_production_polaris   flow2supera   workdir/v0_81_flow2supera     JOB_FINISHED       {'index': '81', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977571   2x2_production_polaris   flow2supera   workdir/v0_82_flow2supera     JOB_FINISHED       {'index': '82', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977572   2x2_production_polaris   flow2supera   workdir/v0_83_flow2supera     JOB_FINISHED       {'index': '83', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977573   2x2_production_polaris   flow2supera   workdir/v0_84_flow2supera     JOB_FINISHED       {'index': '84', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977574   2x2_production_polaris   flow2supera   workdir/v0_85_flow2supera     JOB_FINISHED       {'index': '85', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977575   2x2_production_polaris   flow2supera   workdir/v0_86_flow2supera     JOB_FINISHED       {'index': '86', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977576   2x2_production_polaris   flow2supera   workdir/v0_87_flow2supera     JOB_FINISHED       {'index': '87', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977577   2x2_production_polaris   flow2supera   workdir/v0_88_flow2supera     JOB_FINISHED       {'index': '88', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977578   2x2_production_polaris   flow2supera   workdir/v0_89_flow2supera     JOB_FINISHED       {'index': '89', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977579   2x2_production_polaris   flow2supera   workdir/v0_90_flow2supera     JOB_FINISHED       {'index': '90', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977580   2x2_production_polaris   flow2supera   workdir/v0_91_flow2supera     JOB_FINISHED       {'index': '91', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977581   2x2_production_polaris   flow2supera   workdir/v0_92_flow2supera     JOB_FINISHED       {'index': '92', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977582   2x2_production_polaris   flow2supera   workdir/v0_93_flow2supera     JOB_FINISHED       {'index': '93', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977583   2x2_production_polaris   flow2supera   workdir/v0_94_flow2supera     AWAITING_PARENTS   {'index': '94', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977584   2x2_production_polaris   flow2supera   workdir/v0_95_flow2supera     JOB_FINISHED       {'index': '95', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977585   2x2_production_polaris   flow2supera   workdir/v0_96_flow2supera     JOB_FINISHED       {'index': '96', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977586   2x2_production_polaris   flow2supera   workdir/v0_97_flow2supera     JOB_FINISHED       {'index': '97', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977587   2x2_production_polaris   flow2supera   workdir/v0_98_flow2supera     JOB_FINISHED       {'index': '98', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977588   2x2_production_polaris   flow2supera   workdir/v0_99_flow2supera     JOB_FINISHED       {'index': '99', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}      
33977589   2x2_production_polaris   flow2supera   workdir/v0_100_flow2supera    JOB_FINISHED       {'index': '100', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977590   2x2_production_polaris   flow2supera   workdir/v0_101_flow2supera    JOB_FINISHED       {'index': '101', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977591   2x2_production_polaris   flow2supera   workdir/v0_102_flow2supera    JOB_FINISHED       {'index': '102', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977592   2x2_production_polaris   flow2supera   workdir/v0_103_flow2supera    JOB_FINISHED       {'index': '103', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977593   2x2_production_polaris   flow2supera   workdir/v0_104_flow2supera    JOB_FINISHED       {'index': '104', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977594   2x2_production_polaris   flow2supera   workdir/v0_105_flow2supera    JOB_FINISHED       {'index': '105', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977595   2x2_production_polaris   flow2supera   workdir/v0_106_flow2supera    JOB_FINISHED       {'index': '106', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
