ID         Site                     App         Workdir                     State          Tags                                                                                                          
33978595   2x2_production_polaris   inference   workdir/v0_84_inference     JOB_FINISHED   {'index': '84', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978596   2x2_production_polaris   inference   workdir/v0_85_inference     JOB_FINISHED   {'index': '85', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978597   2x2_production_polaris   inference   workdir/v0_86_inference     JOB_FINISHED   {'index': '86', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978598   2x2_production_polaris   inference   workdir/v0_87_inference     JOB_FINISHED   {'index': '87', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978599   2x2_production_polaris   inference   workdir/v0_88_inference     JOB_FINISHED   {'index': '88', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978600   2x2_production_polaris   inference   workdir/v0_89_inference     JOB_FINISHED   {'index': '89', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978601   2x2_production_polaris   inference   workdir/v0_90_inference     JOB_FINISHED   {'index': '90', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978602   2x2_production_polaris   inference   workdir/v0_91_inference     JOB_FINISHED   {'index': '91', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978603   2x2_production_polaris   inference   workdir/v0_92_inference     JOB_FINISHED   {'index': '92', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978604   2x2_production_polaris   inference   workdir/v0_93_inference     JOB_FINISHED   {'index': '93', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978605   2x2_production_polaris   inference   workdir/v0_94_inference     FAILED         {'index': '94', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978606   2x2_production_polaris   inference   workdir/v0_95_inference     JOB_FINISHED   {'index': '95', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978607   2x2_production_polaris   inference   workdir/v0_96_inference     JOB_FINISHED   {'index': '96', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978608   2x2_production_polaris   inference   workdir/v0_97_inference     JOB_FINISHED   {'index': '97', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978609   2x2_production_polaris   inference   workdir/v0_98_inference     JOB_FINISHED   {'index': '98', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978610   2x2_production_polaris   inference   workdir/v0_99_inference     JOB_FINISHED   {'index': '99', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}      
33978611   2x2_production_polaris   inference   workdir/v0_100_inference    JOB_FINISHED   {'index': '100', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978612   2x2_production_polaris   inference   workdir/v0_101_inference    JOB_FINISHED   {'index': '101', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978613   2x2_production_polaris   inference   workdir/v0_102_inference    JOB_FINISHED   {'index': '102', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978614   2x2_production_polaris   inference   workdir/v0_103_inference    JOB_FINISHED   {'index': '103', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978615   2x2_production_polaris   inference   workdir/v0_104_inference    JOB_FINISHED   {'index': '104', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978616   2x2_production_polaris   inference   workdir/v0_105_inference    JOB_FINISHED   {'index': '105', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978617   2x2_production_polaris   inference   workdir/v0_106_inference    JOB_FINISHED   {'index': '106', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978618   2x2_production_polaris   inference   workdir/v0_107_inference    FAILED         {'index': '107', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978619   2x2_production_polaris   inference   workdir/v0_108_inference    JOB_FINISHED   {'index': '108', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
