ID         Site                     App        Workdir                    State          Tags                                                                                                         
33990630   2x2_production_polaris   analysis   workdir/v2_60_analysis     FAILED         {'index': '60', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990631   2x2_production_polaris   analysis   workdir/v2_61_analysis     JOB_FINISHED   {'index': '61', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990632   2x2_production_polaris   analysis   workdir/v2_62_analysis     JOB_FINISHED   {'index': '62', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990633   2x2_production_polaris   analysis   workdir/v2_63_analysis     JOB_FINISHED   {'index': '63', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990634   2x2_production_polaris   analysis   workdir/v2_64_analysis     JOB_FINISHED   {'index': '64', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990635   2x2_production_polaris   analysis   workdir/v2_65_analysis     JOB_FINISHED   {'index': '65', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990636   2x2_production_polaris   analysis   workdir/v2_66_analysis     JOB_FINISHED   {'index': '66', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990637   2x2_production_polaris   analysis   workdir/v2_67_analysis     FAILED         {'index': '67', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990638   2x2_production_polaris   analysis   workdir/v2_68_analysis     JOB_FINISHED   {'index': '68', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990639   2x2_production_polaris   analysis   workdir/v2_69_analysis     JOB_FINISHED   {'index': '69', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990640   2x2_production_polaris   analysis   workdir/v2_70_analysis     JOB_FINISHED   {'index': '70', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990641   2x2_production_polaris   analysis   workdir/v2_71_analysis     JOB_FINISHED   {'index': '71', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990642   2x2_production_polaris   analysis   workdir/v2_72_analysis     JOB_FINISHED   {'index': '72', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990643   2x2_production_polaris   analysis   workdir/v2_73_analysis     JOB_FINISHED   {'index': '73', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990644   2x2_production_polaris   analysis   workdir/v2_74_analysis     FAILED         {'index': '74', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990645   2x2_production_polaris   analysis   workdir/v2_75_analysis     JOB_FINISHED   {'index': '75', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990646   2x2_production_polaris   analysis   workdir/v2_76_analysis     FAILED         {'index': '76', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990647   2x2_production_polaris   analysis   workdir/v2_77_analysis     JOB_FINISHED   {'index': '77', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990648   2x2_production_polaris   analysis   workdir/v2_78_analysis     JOB_FINISHED   {'index': '78', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990649   2x2_production_polaris   analysis   workdir/v2_79_analysis     FAILED         {'index': '79', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990650   2x2_production_polaris   analysis   workdir/v2_80_analysis     JOB_FINISHED   {'index': '80', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990651   2x2_production_polaris   analysis   workdir/v2_81_analysis     JOB_FINISHED   {'index': '81', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990652   2x2_production_polaris   analysis   workdir/v2_82_analysis     JOB_FINISHED   {'index': '82', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990653   2x2_production_polaris   analysis   workdir/v2_83_analysis     JOB_FINISHED   {'index': '83', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990654   2x2_production_polaris   analysis   workdir/v2_84_analysis     JOB_FINISHED   {'index': '84', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990655   2x2_production_polaris   analysis   workdir/v2_85_analysis     JOB_FINISHED   {'index': '85', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990656   2x2_production_polaris   analysis   workdir/v2_86_analysis     JOB_FINISHED   {'index': '86', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990657   2x2_production_polaris   analysis   workdir/v2_87_analysis     JOB_FINISHED   {'index': '87', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990658   2x2_production_polaris   analysis   workdir/v2_88_analysis     JOB_FINISHED   {'index': '88', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990659   2x2_production_polaris   analysis   workdir/v2_89_analysis     JOB_FINISHED   {'index': '89', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990660   2x2_production_polaris   analysis   workdir/v2_90_analysis     JOB_FINISHED   {'index': '90', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990661   2x2_production_polaris   analysis   workdir/v2_91_analysis     JOB_FINISHED   {'index': '91', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990662   2x2_production_polaris   analysis   workdir/v2_92_analysis     JOB_FINISHED   {'index': '92', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990663   2x2_production_polaris   analysis   workdir/v2_93_analysis     JOB_FINISHED   {'index': '93', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
