ID         Site                     App     Workdir              State           Tags                                                                                               
33961803   2x2_production_polaris   larnd   workdir/75_larnd     JOB_FINISHED    {'index': '75', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961804   2x2_production_polaris   larnd   workdir/76_larnd     RESTART_READY   {'index': '76', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961805   2x2_production_polaris   larnd   workdir/77_larnd     JOB_FINISHED    {'index': '77', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961806   2x2_production_polaris   larnd   workdir/78_larnd     JOB_FINISHED    {'index': '78', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961807   2x2_production_polaris   larnd   workdir/79_larnd     RESTART_READY   {'index': '79', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961808   2x2_production_polaris   larnd   workdir/80_larnd     JOB_FINISHED    {'index': '80', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961809   2x2_production_polaris   larnd   workdir/81_larnd     JOB_FINISHED    {'index': '81', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961810   2x2_production_polaris   larnd   workdir/82_larnd     JOB_FINISHED    {'index': '82', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961811   2x2_production_polaris   larnd   workdir/83_larnd     JOB_FINISHED    {'index': '83', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961812   2x2_production_polaris   larnd   workdir/84_larnd     JOB_FINISHED    {'index': '84', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961813   2x2_production_polaris   larnd   workdir/85_larnd     JOB_FINISHED    {'index': '85', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961814   2x2_production_polaris   larnd   workdir/86_larnd     JOB_FINISHED    {'index': '86', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961815   2x2_production_polaris   larnd   workdir/87_larnd     JOB_FINISHED    {'index': '87', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961816   2x2_production_polaris   larnd   workdir/88_larnd     JOB_FINISHED    {'index': '88', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961817   2x2_production_polaris   larnd   workdir/89_larnd     JOB_FINISHED    {'index': '89', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961818   2x2_production_polaris   larnd   workdir/90_larnd     JOB_FINISHED    {'index': '90', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961819   2x2_production_polaris   larnd   workdir/91_larnd     JOB_FINISHED    {'index': '91', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961820   2x2_production_polaris   larnd   workdir/92_larnd     JOB_FINISHED    {'index': '92', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961821   2x2_production_polaris   larnd   workdir/93_larnd     JOB_FINISHED    {'index': '93', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961822   2x2_production_polaris   larnd   workdir/94_larnd     RESTART_READY   {'index': '94', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961823   2x2_production_polaris   larnd   workdir/95_larnd     JOB_FINISHED    {'index': '95', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
