ID         Site                     App            Workdir                        State          Tags                                                                                                                
33988488   2x2_production_polaris   inference_v1   workdir/v3_84_inference_v1     JOB_FINISHED   {'index': '84', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988489   2x2_production_polaris   inference_v1   workdir/v3_85_inference_v1     JOB_FINISHED   {'index': '85', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988490   2x2_production_polaris   inference_v1   workdir/v3_86_inference_v1     JOB_FINISHED   {'index': '86', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988491   2x2_production_polaris   inference_v1   workdir/v3_87_inference_v1     JOB_FINISHED   {'index': '87', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988492   2x2_production_polaris   inference_v1   workdir/v3_88_inference_v1     JOB_FINISHED   {'index': '88', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988493   2x2_production_polaris   inference_v1   workdir/v3_89_inference_v1     JOB_FINISHED   {'index': '89', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988494   2x2_production_polaris   inference_v1   workdir/v3_90_inference_v1     JOB_FINISHED   {'index': '90', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988495   2x2_production_polaris   inference_v1   workdir/v3_91_inference_v1     JOB_FINISHED   {'index': '91', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988496   2x2_production_polaris   inference_v1   workdir/v3_92_inference_v1     JOB_FINISHED   {'index': '92', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988497   2x2_production_polaris   inference_v1   workdir/v3_93_inference_v1     JOB_FINISHED   {'index': '93', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988498   2x2_production_polaris   inference_v1   workdir/v3_94_inference_v1     FAILED         {'index': '94', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988499   2x2_production_polaris   inference_v1   workdir/v3_95_inference_v1     JOB_FINISHED   {'index': '95', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988500   2x2_production_polaris   inference_v1   workdir/v3_96_inference_v1     JOB_FINISHED   {'index': '96', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988501   2x2_production_polaris   inference_v1   workdir/v3_97_inference_v1     JOB_FINISHED   {'index': '97', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988502   2x2_production_polaris   inference_v1   workdir/v3_98_inference_v1     JOB_FINISHED   {'index': '98', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988503   2x2_production_polaris   inference_v1   workdir/v3_99_inference_v1     JOB_FINISHED   {'index': '99', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}      
33988504   2x2_production_polaris   inference_v1   workdir/v3_100_inference_v1    JOB_FINISHED   {'index': '100', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988505   2x2_production_polaris   inference_v1   workdir/v3_101_inference_v1    JOB_FINISHED   {'index': '101', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988506   2x2_production_polaris   inference_v1   workdir/v3_102_inference_v1    JOB_FINISHED   {'index': '102', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988507   2x2_production_polaris   inference_v1   workdir/v3_103_inference_v1    JOB_FINISHED   {'index': '103', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988508   2x2_production_polaris   inference_v1   workdir/v3_104_inference_v1    JOB_FINISHED   {'index': '104', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
